Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,2030 Logistic,2030 Linear,Logistic evaluation R2,Logistic evaluation PBIAS,Logistic evaluation NRMSE,Linear evaluation R2,Linear evaluation PBIAS,Linear evaluation NRMSE,5-Fold validation mean R2,5-Fold validation mean PBIAS,5-Fold validation mean NRMSE
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),384,Côte d'Ivoire,8553.176701079417,16347.333058823366,0.8972564114488301,-16.01412472644804,0.3205364075283336,0.4643395202500866,-3.644413751859365e-12,0.7318882973172295,-2.4061479481810406,-6.239335146843615,1.7077950287986923
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),388,Jamaica,50.97968628686645,-66027.2640708331,0.06595764448434005,2.3786554130824302,0.9664586672567328,0.06019207136654092,-1.8606180832763518e-13,0.9694369131787066,-94674.59449282776,8488.592718226357,178.84912288539226
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),392,Japan,892121.9997560701,1503735.900000006,0.8304909882820158,-0.5524278032288309,0.4117147212791694,0.47456103271481265,-3.756573161464005e-12,0.7248716902219229,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),398,Kazakhstan,376057.10880513204,116118.45897735842,0.9744622798001947,-19.04237331027802,0.15980525710941196,0.20402910510211192,7.461651905514249e-13,0.8921720097032232,-65.25327359614488,283.0966448399966,5.228586529206027
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),400,Jordan,1237.6471780331974,1348.3111764705827,0.16364380752066243,4.653359582374137,0.9145251185611785,0.16042713034747402,-1.5911157402073116e-13,0.9162820906535966,-19.745988175567504,16.538640910078833,2.9283289872611538
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),404,Kenya,2752.7604397086207,-3735.2771236742847,0.04151113884357427,2.5407803546396153,0.9790244435949623,0.05237974743054874,-7.404305341562933e-13,0.9734578843326769,-121.23499468356064,303.4442739232744,7.555269188259565
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),410,Republic of Korea,13306.390118774958,-92983.67064945027,0.0370358554089214,5.0698690275406175,0.9813073649938019,0.051279299330788564,1.1920274611921926e-12,0.9740229466851442,-390.11822421276145,352.9536016402724,13.201486005742655
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),412,Kosovo,12997.384178009428,14351.423936363542,0.03725263000668377,2.474112437778703,0.9811969068404752,0.04284422829580148,-1.010121575573289e-12,0.9783433812850163,-62.89197042651705,385.81946078192357,6.224734888707594
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),414,Kuwait,1.0,,,,,,,,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),417,Kyrgyzstan,163541.75927524842,42891.93908256851,0.8270210182934428,-28.41373812996335,0.41590741963393396,0.09044788679872606,-4.351193555429346e-13,0.9537044160541955,-10.040943850053086,-25.52930642442151,2.911846654700358
